"kingdom" "phylum" "class" "order" "family" "genus" "binomial" "statut" "category" "foraging.niche" "body.mass" "habitat.breadth" "main.diet" "foraging.period"
"ANIMALIA" "CHORDATA" "MAMMALIA" "MONOTREMATA" "TACHYGLOSSIDAE" "Zaglossus" "Zaglossus bartoni" "endemic" "VU" "G" 7180 3 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "MONOTREMATA" "TACHYGLOSSIDAE" "Zaglossus" "Zaglossus bruijnii" "endemic" "CR" "G" 10139.5 1 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "MONOTREMATA" "TACHYGLOSSIDAE" "Zaglossus" "Zaglossus attenboroughi" "endemic" "CR" "G" 8532.39 1 "I" "N"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale fotsifotsy" "endemic" "LC" "G" 7.7 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale nasoloi" "endemic" "VU" "G" 13.83 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale pusilla" "endemic" "LC" "G" 3.4 4 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale principula" "endemic" "LC" "G" 10.2 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale dryas" "endemic" "VU" "G" 40 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale monticola" "endemic" "VU" "G" 13.9 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale longicaudata" "endemic" "LC" "G" 7.3 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale gymnorhyncha" "endemic" "LC" "G" 18.2 1 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale cowani" "endemic" "LC" "G" 13.8 2 "I" "CDN"
"ANIMALIA" "CHORDATA" "MAMMALIA" "AFROSORICIDA" "TENRECIDAE" "Microgale" "Microgale taiva" "endemic" "LC" "G" 12.4 1 "I" "CDN"
